| name | characteristics | use_case |
|------|-----------------|----------|
| Entertainment (Social) | Vibrant, playful, content-rich, social engagement | Social networks, video platforms, music apps |
| Entertainment (Gaming) | Dynamic, immersive, fast-paced, reward-driven | Games, esports apps, interactive platforms |
| Tool (Productivity) | Minimal, efficient, content-first, task-focused | To-do lists, notes, project management |
| Tool (Utility) | Simple, accessible, quick-action, no-friction | Converters, calculators, scanners |
| Productivity (Business) | Professional, trustworthy, data-centric, organized | Analytics, CRM, collaboration tools |
| SaaS (Enterprise) | Scalable, secure, complex workflows, dashboard-heavy | Business software, dashboards, admin panels |
| E-commerce | Conversion-focused, visual, trust-building, clear CTA | Retail, fashion, marketplaces |
| Healthcare | Trustworthy, accessible, privacy-conscious, clarity-focused | Fitness, medical, wellness apps |
| Fintech | Secure, data-driven, trust-building, professional | Banking, payments, investment apps |
| Beauty & Lifestyle | Aspirational, visual, trendy, premium feel | Fashion, beauty, lifestyle apps |
| Travel & Navigation | Exploratory, map-focused, practical, journey-focused | Travel, maps, transportation |
| Education | Engaging, structured, goal-oriented, progress-tracking | Learning platforms, courses, tutoring |
| Portfolio (Creative) | Showcase-focused, aesthetic, minimalist, professional | Designer portfolios, artist sites, showcases |
